"","logFC","logCPM","LR","PValue","FDR"
"201820_at",-7.32284519229787,8.48318134792208,2471.34993679153,0,0
"213287_s_at",-7.22799112712795,9.18598894948475,4070.29674961425,0,0
"211813_x_at",-7.21304767707022,8.60808329499845,22032.5541114686,0,0
"207908_at",-7.16436098336434,8.21623238524504,3383.71911496447,0,0
"221841_s_at",-7.11532817928755,8.52411815815806,2066.6245330428,0,0
"33322_i_at",-7.10004888605054,8.80571004060316,4008.77192099149,0,0
"AFFX-r2-Ec-bioD-5_at",-7.07359328359652,7.96557830671306,1884.03270758275,0,0
"206032_at",-7.05515603565987,7.85809349205099,2902.21785417519,0,0
"207023_x_at",-6.98416935023091,9.00880939393667,3814.06020165885,0,0
"AFFX-hum_alu_at",-6.92471119466229,9.38776033224078,3719.0235710074,0,0
"206033_s_at",-6.91737421825071,7.75794437974109,1583.16829967929,0,0
"222392_x_at",-6.90126012554696,9.01152854482929,3460.30932321718,0,0
"1553538_s_at",-6.90022583827638,9.37080645923128,4851.96879388503,0,0
"209335_at",-6.89943694263597,7.76083370690504,1617.61789016057,0,0
"212869_x_at",-6.89365673187777,9.31623475395461,4924.19618003504,0,0
"201257_x_at",-6.89136492167206,9.28855005711062,4514.40131581144,0,0
"212284_x_at",-6.89039858744955,9.30991216625266,4515.73293679638,0,0
"201041_s_at",-6.86808251640672,8.63652038685943,1840.99943705585,0,0
"207783_x_at",-6.85832686449138,9.26805026929121,4364.2054050261,0,0
"212391_x_at",-6.85123277629645,9.25927354392254,4465.86648326583,0,0
"201217_x_at",-6.834081435431,9.24615678322144,3802.3398072476,0,0
"214003_x_at",-6.83199101780469,9.26733056293949,4507.82685521651,0,0
"201429_s_at",-6.82613124682609,9.32317303635586,4376.45369510042,0,0
"1553570_x_at",-6.82467611547538,9.31519041979077,4383.3310611811,0,0
"1553588_at",-6.82024925322198,9.31943093151196,5117.55100726424,0,0
"200031_s_at",-6.80983273943228,9.22939179624336,4702.15087177239,0,0
"210633_x_at",-6.80772805748918,8.88256438556379,3841.95466649135,0,0
"208834_x_at",-6.8070565739861,9.30972758999199,4986.09986459424,0,0
"208825_x_at",-6.80296572451501,9.3068749965639,5181.97146226591,0,0
"1553569_at",-6.80119064552314,9.2946241351159,4408.78578675664,0,0
"213614_x_at",-6.78804776874844,9.28838979586142,4242.5240089781,0,0
"224372_at",-6.77506477074328,9.26521438645462,4484.12326309272,0,0
"213084_x_at",-6.77052892018807,9.28324559284152,5130.83512299386,0,0
"216438_s_at",-6.76986120664547,8.87488397212895,4216.65232729588,0,0
"224373_s_at",-6.76038232660404,9.23286561746186,3968.99877541277,0,0
"211073_x_at",-6.75103553348118,9.18621501324391,3996.66071222232,0,0
"212039_x_at",-6.74400174070719,9.18172091325846,4645.80440734159,0,0
"209604_s_at",-6.72936118226917,8.06785388011501,2184.87308820764,0,0
"1553551_s_at",-6.72706032630747,9.19064119495691,3819.89578055048,0,0
"201492_s_at",-6.71930687802787,9.24513818328281,3957.37033890203,0,0
"200963_x_at",-6.71027395091017,9.19734222675086,4774.21294244812,0,0
"200926_at",-6.69924937238653,9.20751812528584,5498.51118588638,0,0
"210646_x_at",-6.69292298488779,9.21690026845422,5511.75916538463,0,0
"200717_x_at",-6.68588975648696,9.17618978460012,4761.45137117172,0,0
"216231_s_at",-6.68387149105259,9.09039877114537,5834.54917314121,0,0
"201254_x_at",-6.68140223759397,9.1372785028258,5625.86253443349,0,0
"229563_s_at",-6.68081710814914,9.13583675620792,4200.19189868509,0,0
"203034_s_at",-6.67544451404658,9.1577917781008,4593.42118788446,0,0
"206559_x_at",-6.66886483732067,9.19836015150782,3961.11243839462,0,0
"212790_x_at",-6.66533285185958,9.14732763078354,5168.75774058389,0,0
"208695_s_at",-6.65785737775697,9.18074286887433,4806.0566091367,0,0
"208645_s_at",-6.65245160471084,9.12613278856726,3885.764946672,0,0
"223122_s_at",-6.6519293142726,7.5795482455886,2824.21244538068,0,0
"221798_x_at",-6.64812792000357,9.19383694076473,4042.52546672741,0,0
"216520_s_at",-6.63980664916769,9.12450102514182,4056.13678990688,0,0
"206642_at",-6.6329250953492,7.56667432095579,2933.33500871585,0,0
"213477_x_at",-6.63158359605213,9.12535033319846,3640.53245633413,0,0
"200032_s_at",-6.61521780147917,9.08973280831727,5436.76515005434,0,0
"213377_x_at",-6.61343783789591,9.08683529078506,3566.1249582205,0,0
"200716_x_at",-6.61174661787789,9.10514685978787,4949.7007709907,0,0
"226131_s_at",-6.60843468218395,9.16291791536787,5408.41188106759,0,0
"200741_s_at",-6.60670030985048,9.09349632328827,4012.5481179256,0,0
"200099_s_at",-6.60385297793255,9.08072252739649,4234.09729191192,0,0
"200763_s_at",-6.59984768918894,9.14156752547693,3734.77206029779,0,0
"201049_s_at",-6.58966234877718,9.14453717838743,3654.71237391135,0,0
"204892_x_at",-6.58869933085603,9.15137879404831,4294.46750620338,0,0
"214351_x_at",-6.58736122857888,9.03495322079457,3691.22284752767,0,0
"200026_at",-6.58584331683257,9.026832527506,4169.6859270879,0,0
"200062_s_at",-6.58333444057255,9.07031705256724,4958.83689685014,0,0
"200817_x_at",-6.57972415775561,9.08478469214337,3755.36216229342,0,0
"212734_x_at",-6.55414794648277,9.04488939158421,3863.54662220155,0,0
"211542_x_at",-6.546855897786,9.06479354230899,3644.81076742154,0,0
"213414_s_at",-6.54396149302181,9.08485337348536,4454.07753465749,0,0
"201891_s_at",-6.53949960413562,8.97486936574392,4238.94825535308,0,0
"1553567_s_at",-6.53246047334654,9.08338012043602,4141.84154264409,0,0
"217740_x_at",-6.53146724751278,9.03305892940267,4544.68025916537,0,0
"200092_s_at",-6.52741565559385,9.02539045623426,3475.45979348339,0,0
"213583_x_at",-6.5239841162526,9.03806411218506,3943.55132259668,0,0
"204379_s_at",-6.52159241061086,7.89766654017055,3173.72298514769,0,0
"200909_s_at",-6.52056371448287,9.02281455148536,6619.46252888999,0,0
"211990_at",-6.51986114567083,8.29535602225891,15375.4396893823,0,0
"200017_at",-6.51335336380846,9.01644509188041,4435.10791953846,0,0
"200018_at",-6.51076324780635,9.01452524617901,4343.04492228299,0,0
"204734_at",-6.5105534045092,7.90515668679846,1588.88895559436,0,0
"200095_x_at",-6.49650894185617,9.01186611699689,4539.24681609265,0,0
"200869_at",-6.49184496496927,9.00065816027816,3894.24262174261,0,0
"209134_s_at",-6.48632868302953,8.99805381333416,5569.54219025906,0,0
"200933_x_at",-6.47789371800646,9.0279884024215,5499.43935056817,0,0
"201094_at",-6.47710385383853,8.99044094458991,4111.43093607854,0,0
"200081_s_at",-6.47375024220297,8.98976974054211,7069.0927816965,0,0
"200088_x_at",-6.46217527463349,8.99187890272872,5629.83608633161,0,0
"200003_s_at",-6.44825620458202,8.96961453305301,3729.23722667839,0,0
"208306_x_at",-6.43818135867705,8.08216629994958,12504.5301235741,0,0
"212042_x_at",-6.43797965818394,8.96332981413244,4754.60330456097,0,0
"219410_at",-6.43720810864357,8.32760388791787,1485.03138186756,0,0
"215963_x_at",-6.43353823551473,8.96007664154613,4603.8627023674,0,0
"203107_x_at",-6.42700248463562,9.02442176954418,3100.83702180656,0,0
"203074_at",-6.42588795669351,7.97625891233814,1816.24131702792,0,0
"214327_x_at",-6.41397711811288,8.86248398398758,3744.5902270266,0,0
"211720_x_at",-6.41341528246176,8.95968786652596,3886.67806442956,0,0
"203012_x_at",-6.41049840150714,9.02207290164348,5807.5353085776,0,0
"211943_x_at",-6.40986786910653,8.96476028683681,4284.77162162712,0,0
"224930_x_at",-6.39843868639512,8.93261995154442,6208.38368733083,0,0
"204455_at",-6.39822872697381,7.55625917714321,3596.5738251988,0,0
"201406_at",-6.37738248147571,8.91939197333099,3528.29452557086,0,0
"201033_x_at",-6.37496544714844,8.93570795906572,3495.6323225054,0,0
"200022_at",-6.37488433279523,8.9149045211846,4359.89739755615,0,0
"211296_x_at",-6.37324688979544,8.9706805505097,4312.12969558652,0,0
"200061_s_at",-6.37165584169163,8.91569110251689,3789.73742669901,0,0
"208856_x_at",-6.36984584213512,8.93581819360156,3598.44930712633,0,0
"213080_x_at",-6.36540661068876,8.91184622052285,4321.46600733199,0,0
"212433_x_at",-6.34623428365267,8.91496918415002,3137.88610590065,0,0
"200735_x_at",-6.34260550360031,8.87849438676797,5729.99264511282,0,0
"213347_x_at",-6.34223384406425,8.90402697268113,6285.68905352093,0,0
"200801_x_at",-6.34005012464492,8.93079238921418,5754.95059984179,0,0
"208929_x_at",-6.33927587839528,8.88890213775324,3461.45773158255,0,0
"200674_s_at",-6.33568817598754,8.92620112431843,3768.21816781828,0,0
